date,dte,spy_close,return,daily_bar,beat_bar,call_mid,put_mid,straddle_mark,call_iv,put_iv,atm_iv,pnl,delta,gamma,theta,vega,realized_to_date,rv_minus_iv,note
2026-08-24,32,763.66,,,,,,23.53,,,,,,,,,,,ENTRY — row zero
2026-08-25,31,765.85,0.002868,0.008063,no,,,23.14,0.1272,0.1272,0.1272,-78.0,17.3,5.6,-73.41,353.19,0.045524,-0.082476,steady slow decline for the past week 
2026-08-26,30,766.01,0.000209,0.008063,no,,,22.68,0.1268,0.1268,0.1268,-170.0,18.0,5.71,-74.43,347.36,0.032276,-0.095724,
2026-08-27,29,771.08,0.006619,0.008063,no,,,22.42,0.1234,0.1235,0.12345,-222.0,47.6,5.69,-73.87,330.45,0.066139,-0.061861,
2026-08-28,28,769.27,-0.002347,0.008063,no,,,21.07,0.119,0.119,0.119,-492.0,38.4,6.13,-72.75,329.27,0.060232,-0.067768,
2026-08-31,25,767.02,-0.002925,0.008063,no,,,19.88,0.1207,0.1207,0.1207,-730.0,23.7,6.53,-77.85,316.01,0.057736,-0.070264,migrated
2026-09-01,24,761.72,-0.00691,0.008063,no,8.86,11.16,20.02,0.1273,0.129,0.12815,-702.0,-11.2,6.38,-81.41,310.15,0.069161,-0.058839,
2026-09-02,23,765.2,0.004569,0.008063,no,10.14,8.69,18.83,0.1246,0.1216,0.1231,-940.0,10.8,6.75,-82.13,305.07,0.069651,-0.058349,
2026-09-03,22,772.8,0.009932,0.008063,yes,14.84,5.5,20.34,0.1313,0.1228,0.12705,-638.0,59.5,6.18,-85.67,280.79,0.085745,-0.042255,
2026-09-04,21,770.24,-0.003313,0.008063,no,11.64,6.36,18.0,0.1124,0.1241,0.11825,-1106.0,46.5,7.02,-82.79,281.48,0.08272,-0.04528,
2026-09-08,17,765.96,-0.005557,0.008063,no,8.96,7.64,16.6,0.1247,0.1272,0.12595,-1386.0,13.6,7.65,-97.92,262.18,0.083285,-0.044715,
2026-09-09,16,762.45,-0.004582,0.008063,no,7.1,9.81,16.91,0.1275,0.137,0.13225,-1324.0,-13.8,7.56,-103.11,253.16,0.082383,-0.045617,
2026-09-10,15,757.83,-0.006059,0.008063,no,5.6,11.88,17.48,0.1397,0.1305,0.1351,-1210.0,-49.3,7.34,-100.38,232.75,0.08362,-0.04438,
2026-09-11,14,764.29,0.008524,0.008063,yes,6.77,7.24,14.01,0.1173,0.1178,0.11755,-1904.0,-2.1,9.09,-99.52,238.25,0.088674,-0.039326,
2026-09-14,11,760.88,-0.004462,0.008063,no,4.94,9.08,14.02,0.1289,0.1297,0.1293,-1902.0,-36.2,9.13,-117.07,204.83,0.08752,-0.04048,
2026-09-15,10,757.44,-0.004521,0.008063,no,3.52,10.7,14.22,0.1326,0.1227,0.12765,-1862.0,-71.6,8.98,-108.07,179.06,0.086559,-0.041441,
2026-09-16,9,754.13,-0.00437,0.008063,no,2.09,13.16,15.25,0.128,0.1294,0.1287,-1656.0,-104.4,8.16,-95.86,146.57,0.085586,-0.042414,
2026-09-17,8,762.6,0.011231,0.008063,yes,3.67,6.46,10.13,0.1083,0.1119,0.1101,-2680.0,-32.3,12.61,-118.19,176.02,0.093616,-0.034384,
2026-09-18,7,761.54,-0.00139,0.008063,no,3.85,4.46,8.31,0.1122,0.0817,0.09695,-3044.0,-28.7,15.72,-112.15,165.48,0.091127,-0.036873,"SPY ex-dividend — price step, not volatility"
2026-09-21,4,773.5,0.015705,0.008063,yes,10.72,0.96,11.68,0.1256,0.1293,0.12745,-2370.0,133.2,9.7,-140.1,81.02,0.105539,-0.022461,
2026-09-22,3,773.38,-0.000155,0.008063,no,10.52,0.52,11.04,0.1433,0.1202,0.13175,-2498.0,142.1,9.81,-152.62,63.6,0.102868,-0.025132,
2026-09-23,2,767.83,-0.007176,0.008063,no,5.44,1.32,6.76,0.134,0.1278,0.1309,-3354.0,82.7,18.51,-262.84,78.23,0.103421,-0.024579,
2026-09-24,1,767.18,-0.000847,0.008063,no,3.88,1.14,5.02,0.1123,0.1521,0.1322,-3702.0,94.4,24.87,-356.54,52.28,0.101084,-0.026916,
